,age,avg_time,category,geek_rating,id,max_players,mechanic,min_players,name,rank,rating_count,weight,year
2163,15,30,"['Fantasy', 'Fighting', 'Humor']",6.92435,221366,6,"['Dice Rolling', 'Hand Management', 'Take That']",2,Epic Spell Wars of the Battle Wizards: Melee at Murdershroom Marsh,4556.0,2,1.5,2017
2164,12,300,"['Aviation / Flight', 'Wargame', 'World War I']",7.70833,256939,1,['Simulation'],1,Zeppelin Raider: Imperial German Naval Airships,9670.0,6,3.1667,2019
2165,14,120,"['Card Game', 'Expansion for Base-game', 'Fantasy', 'Horror', 'Novel-based']",8.07963,219054,4,"['Cooperative Play', 'Hand Management', 'Variable Player Powers']",1,Arkham Horror: The Card Game – Undimensioned and Unseen: Mythos Pack,,10,3.5,2017
2166,12,90,"['Dice', 'Science Fiction', 'Space Exploration']",8.9925,264052,4,"['Dice Rolling', 'Set Collection', 'Variable Player Powers', 'Worker Placement']",1,Circadians: First Light,,3,3.3333,2019
2167,10,0,"['Expansion for Base-game', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']",7.7261,177087,5,"['Campaign / Battle Card Driven', 'Dice Rolling', 'Modular Board', 'Variable Player Powers']",2,Star Wars: Imperial Assault – Hired Guns Villain Pack,,5,2.4,2015
2168,0,90,"['Nautical', 'Racing', 'Sports']",6.125,7122,6,['Point to Point Movement'],2,Sail Away,,0,0.0,1962
2169,14,120,"['Bluffing', 'Expansion for Base-game', 'Fantasy', 'Miniatures', 'Mythology', 'Negotiation', 'Wargame']",8.25301,224653,5,"['Area Control / Area Influence', 'Area Movement', 'Card Drafting', 'Set Collection', 'Simultaneous Action Selection', 'Take That', 'Variable Phase Order', 'Variable Player Powers']",3,Rising Sun: Monster Pack,,9,3.5556,2018
2170,12,200,"['Economic', 'Expansion for Base-game', 'Farming']",8.09712,43018,5,['Worker Placement'],1,Agricola: Farmers of the Moor,,347,3.5389,2009
2171,8,45,"['Pirates', 'Racing']",6.692069999999999,826,5,"['Hand Management', 'Modular Board']",2,Cartagena,930.0,745,1.6081,2000
2172,12,60,['Age of Reason'],7.12029,259038,4,"['Auction/Bidding', 'Set Collection', 'Worker Placement']",3,Bastille,5106.0,5,2.8,2018
2173,13,60,"['Horror', 'Zombies']",6.54481,201416,6,"['Area Control / Area Influence', 'Area Movement', 'Card Drafting', 'Pattern Recognition']",2,The Refuge: A Race for Survival,8216.0,6,1.3333,2016
2174,18,20,"['Card Game', 'Humor', 'Party Game']",3.78,229902,6,['Voting'],3,Meme: The Game,,0,0.0,2017
2175,12,70,"['Card Game', 'Civilization']",7.087219999999999,197269,4,"['Deck / Pool Building', 'Hand Management', 'Take That']",2,Guns & Steel: Renaissance,4824.0,2,2.5,2016
2176,9,25,"['Animals', 'Card Game', 'Fantasy', 'Print & Play']",6.0189699999999995,215614,5,"['Memory', 'Press Your Luck', 'Variable Player Powers']",2,Khan of Khans,9752.0,11,1.0909,2016
2177,10,60,['Card Game'],7.26709,226445,6,"['Card Drafting', 'Hand Management', 'Press Your Luck', 'Set Collection']",1,The Big Score,4444.0,6,2.1667,2018
2178,0,20,"['Card Game', 'Industry / Manufacturing', 'Print & Play']",7.7,36457,4,['Set Collection'],2,Santa's Workshop,,0,0.0,2006
2179,0,90,"['Expansion for Base-game', 'Fantasy', 'Miniatures']",7.0206,177414,6,"['Cooperative Play', 'Dice Rolling', 'Grid Movement']",1,B-Sieged: Darkness & Fury,,2,2.5,2016
2180,10,45,"['Dice', 'Fantasy']",6.20144,184917,6,['Press Your Luck'],3,Dicey Goblins,8415.0,2,1.5,2016
2181,6,25,"['Card Game', 'Comic Book / Strip', 'Humor', 'Movies / TV / Radio theme', 'Number', 'Party Game']",6.07969,188614,6,"['Hand Management', 'Memory', 'Trick-taking']",3,Simon's Cat Card Game,6571.0,6,1.1667,2016
2182,0,0,"['Age of Reason', 'Wargame']",7.0,94371,2,['Hex-and-Counter'],2,"The Battle of Blenheim, 1704",10652.0,2,2.0,2018
2183,12,90,['Novel-based'],7.22071,220730,6,"['Variable Player Powers', 'Worker Placement']",2,The Scarlet Pimpernel,6717.0,4,2.5,2019
2184,0,0,['Fantasy'],7.625,266507,0,"['Card Drafting', 'Deck / Pool Building', 'Point to Point Movement', 'Press Your Luck']",0,Clank! Legacy: Acquisitions Incorporated,,0,0.0,2019
2185,14,60,"['Deduction', 'Political']",7.216639999999999,226213,6,['Betting/Wagering'],2,Cursed Court,3517.0,2,2.0,2017
2186,7,10,"['Action / Dexterity', ""Children's Game""]",7.194960000000001,178940,4,[],2,Push It,3450.0,11,1.0909,2015
2187,8,40,"['Deduction', 'Educational', 'Puzzle']",6.55417,184663,4,"['Cooperative Play', 'Pattern Building']",2,Covalence: A Molecule Building Game,7699.0,8,1.625,2016
2188,7,60,"['Aviation / Flight', 'Card Game', 'Educational', 'Exploration', 'Space Exploration']",6.35316,185302,4,"['Hand Management', 'Set Collection', 'Take That', 'Trading']",2,Xtronaut: The Game of Solar System Exploration,10360.0,4,1.25,2016
2189,13,60,"['Card Game', 'Fantasy', 'Horror', 'Humor']",6.5631699999999995,164110,5,"['Hand Management', 'Storytelling', 'Take That']",2,Munchkin Gloom,5815.0,6,1.8333,2015
2190,0,90,"['Expansion for Base-game', 'Science Fiction', 'Wargame']",8.26641,209636,6,"['Grid Movement', 'Hex-and-Counter', 'Variable Player Powers']",1,Talon 1000,,2,2.5,2018
2191,12,120,"['Korean War', 'Wargame']",8.54444,190839,2,['Hex-and-Counter'],2,Forgotten War: Korea 1950-1953 – ASL Module 15,,0,0.0,2018
2192,0,360,"['Wargame', 'World War II']",7.68182,232139,2,"['Dice Rolling', 'Hex-and-Counter', 'Simulation']",2,Autumn For Barbarossa,6079.0,8,2.125,2017
2193,14,30,"['Card Game', 'Economic', 'Industry / Manufacturing', 'Territory Building']",6.99684,224125,2,"['Area Control / Area Influence', 'Card Drafting', 'Commodity Speculation', 'Deck / Pool Building', 'Hand Management', 'Stock Holding', 'Variable Player Powers']",2,Tesla vs. Edison: Duel,4071.0,7,2.1429,2017
2194,14,120,"['City Building', 'Economic', 'Expansion for Base-game', 'Nautical', 'Territory Building']",7.74299,205504,6,"['Auction/Bidding', 'Modular Board', 'Tile Placement', 'Worker Placement']",2,Keyflower: Keymelequin,,2,3.0,2016
