,rank,id,name,age,avg_time,min_players,max_players,mechanic,category,weight,year,geek,avg,num_rev
2776,,214326,Flamme Rouge: Team Trial,8,45,2,4,[],['Expansion for Base-game'],2.0,2017,,6.92,20.0
2777,11485.0,172480,Roar! Catch the Monster,8,30,2,4,"['Cooperative Play', 'Grid Movement', 'Partnerships', 'Variable Player Powers']","[""Children's Game"", 'Deduction', 'Electronic']",1.6,2015,5.524,5.74,144.0
2778,9827.0,160494,"War in the Wind: The Battle of Attu Island, 1943",14,120,2,2,"['Hex-and-Counter', 'Simulation']","['Wargame', 'World War II']",2.6667,2016,5.54,7.28,33.0
2779,5330.0,193083,Kribbeln,8,20,2,5,"['Dice Rolling', 'Pattern Building']",['Dice'],1.0,2016,5.642,6.44,225.0
2780,9897.0,231477,Robotech: Ace Pilot,8,40,2,4,['Dice Rolling'],['Science Fiction'],0.0,2018,5.539,6.88,40.0
2781,6891.0,199086,Festival of Thousand Cats,7,40,3,4,"['Auction/Bidding', 'Hand Management', 'Simultaneous Action Selection', 'Trick-taking']","['Animals', 'Fantasy']",2.0,2016,5.587999999999999,6.75,94.0
2782,,186857,Imperial Settlers: The Watchers Guild,10,90,1,4,"['Card Drafting', 'Hand Management', 'Take That', 'Variable Player Powers']","['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic', 'Expansion for Base-game']",2.0,2015,5.542000000000001,7.47,32.0
2783,8003.0,234860,Hack Trick: It's Hacking Time,10,15,2,2,"['Area Control / Area Influence', 'Hand Management', 'Pattern Building']","['Card Game', 'Deduction']",1.75,2017,5.564,6.89,69.0
2784,7630.0,192346,Edenia,8,30,2,4,['Tile Placement'],"['Racing', 'Space Exploration']",2.0,2016,5.571000000000001,6.52,105.0
2785,,209008,War & Pieces,5,30,2,4,"['Action / Movement Programming', 'Area Enclosure', 'Player Elimination', 'Take That']","[""Children's Game"", 'Territory Building', 'Wargame']",1.0,2016,,5.0,6.0
2786,4876.0,239826,Dice Fishing: Roll and Catch,8,20,2,5,"['Auction/Bidding', 'Dice Rolling']","['Animals', 'Dice']",1.0,2016,5.662999999999999,6.46,241.0
2787,,218761,War in the Pacific: 1941-1945,13,180,2,2,"['Campaign / Battle Card Driven', 'Dice Rolling', 'Hex-and-Counter']","['Wargame', 'World War II']",2.5,2017,,7.86,11.0
2788,4466.0,191071,Skull King: Das Würfelspiel,8,30,3,6,"['Dice Rolling', 'Trick-taking']","['Dice', 'Pirates']",1.2,2016,5.686,6.65,263.0
2789,11695.0,180489,Los Aprendices,10,60,2,4,"['Deck / Pool Building', 'Dice Rolling', 'Modular Board', 'Worker Placement']","['Abstract Strategy', 'Dice']",1.8333,2015,5.522,5.91,95.0
2790,10284.0,225235,First Snow,10,50,2,2,"['Modular Board', 'Secret Unit Deployment', 'Worker Placement']",['Print & Play'],3.0,2017,5.535,7.26,39.0
